2023-12-19 17:07:56,563 INFO    StreamThr :36226 [internal.py:wandb_internal():86] W&B internal server running at pid: 36226, started at: 2023-12-19 17:07:56.562941
2023-12-19 17:07:56,564 DEBUG   HandlerThread:36226 [handler.py:handle_request():144] handle_request: status
2023-12-19 17:07:56,568 INFO    WriterThread:36226 [datastore.py:open_for_write():85] open: /Users/rohanmehta/Desktop/ML Projects/GPT_nano/wandb/run-20231219_170756-ikkria5r/run-ikkria5r.wandb
2023-12-19 17:07:56,568 DEBUG   SenderThread:36226 [sender.py:send():379] send: header
2023-12-19 17:07:56,600 DEBUG   SenderThread:36226 [sender.py:send():379] send: run
2023-12-19 17:07:56,808 INFO    SenderThread:36226 [dir_watcher.py:__init__():211] watching files in: /Users/rohanmehta/Desktop/ML Projects/GPT_nano/wandb/run-20231219_170756-ikkria5r/files
2023-12-19 17:07:56,808 INFO    SenderThread:36226 [sender.py:_start_run_threads():1121] run started: ikkria5r with start time 1703023676.564514
2023-12-19 17:07:56,810 DEBUG   SenderThread:36226 [sender.py:send_request():406] send_request: summary_record
2023-12-19 17:07:56,811 INFO    SenderThread:36226 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-12-19 17:07:56,816 DEBUG   HandlerThread:36226 [handler.py:handle_request():144] handle_request: check_version
2023-12-19 17:07:56,816 DEBUG   SenderThread:36226 [sender.py:send_request():406] send_request: check_version
2023-12-19 17:07:56,906 DEBUG   HandlerThread:36226 [handler.py:handle_request():144] handle_request: run_start
2023-12-19 17:07:56,914 DEBUG   HandlerThread:36226 [system_info.py:__init__():31] System info init
2023-12-19 17:07:56,914 DEBUG   HandlerThread:36226 [system_info.py:__init__():46] System info init done
2023-12-19 17:07:56,914 INFO    HandlerThread:36226 [system_monitor.py:start():181] Starting system monitor
2023-12-19 17:07:56,914 INFO    SystemMonitor:36226 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-12-19 17:07:56,914 INFO    HandlerThread:36226 [system_monitor.py:probe():201] Collecting system info
2023-12-19 17:07:56,915 DEBUG   HandlerThread:36226 [system_info.py:probe():195] Probing system
2023-12-19 17:07:56,915 INFO    SystemMonitor:36226 [interfaces.py:start():190] Started cpu monitoring
2023-12-19 17:07:56,915 INFO    SystemMonitor:36226 [interfaces.py:start():190] Started disk monitoring
2023-12-19 17:07:56,917 INFO    SystemMonitor:36226 [interfaces.py:start():190] Started gpuapple monitoring
2023-12-19 17:07:56,918 INFO    SystemMonitor:36226 [interfaces.py:start():190] Started memory monitoring
2023-12-19 17:07:56,919 INFO    SystemMonitor:36226 [interfaces.py:start():190] Started network monitoring
2023-12-19 17:07:56,925 DEBUG   HandlerThread:36226 [system_info.py:_probe_git():180] Probing git
2023-12-19 17:07:56,940 DEBUG   HandlerThread:36226 [system_info.py:_probe_git():188] Probing git done
2023-12-19 17:07:56,940 DEBUG   HandlerThread:36226 [system_info.py:probe():240] Probing system done
